decimalLatitude,decimalLongitude,year
43.424697,3.70003,2025.0
43.214032,5.325451,2025.0
43.44956,4.433542,2025.0
43.210931,5.350958,2025.0
43.19748,5.361221,2025.0
42.113594,-8.835586,2025.0
36.070138,-5.433418,2025.0
38.703515,-27.04729,2025.0
36.723441,-3.727674,2025.0
43.197898,5.361516,2025.0
43.328484,5.044944,2016.0
43.4338,3.66154,2017.0
43.51598,3.88587,2017.0
43.515976,3.885874,2017.0
42.112703,-8.836839,2025.0
37.845583,-25.146923,2025.0
36.792946,3.32618,2025.0
43.1851,5.389419,2025.0
43.17724,5.370257,2025.0
43.186212,5.391687,2025.0
43.207354,5.337994,2025.0
43.190598,5.381852,2025.0
43.210442,5.332296,2025.0
43.211283,5.352117,2025.0
43.188677,5.385868,2025.0
36.596474,-4.519769,2025.0
37.010083,-8.925923,2024.0
43.384703,-1.792131,2025.0
37.010754,-8.927335,2024.0
37.075544,-8.277711,2025.0
38.734115,-27.062723,2025.0
37.011794,-8.930333,2025.0
36.698738,-2.841684,2025.0
38.680311,-27.055603,2025.0
37.076562,-8.309467,2025.0
43.196406,5.363626,2025.0
43.324594,5.054982,2021.0
38.52589,-28.62719,2025.0
43.228742,5.348033,2025.0
37.07765,-8.279044,2025.0
43.328147,5.100224,2025.0
37.018241,-8.00323,2025.0
43.198979,5.357461,2025.0
36.988888,-7.833611,2025.0
43.424059,3.700526,2025.0
43.428219,4.938422,2025.0
43.215184,5.340436,2025.0
43.285627,5.307899,2025.0
43.210888,5.351307,2025.0
36.995751,-7.848375,2025.0
36.698511,-2.84233,2025.0
37.020467,-7.798065,2025.0
42.374405,3.158202,2025.0
43.453241,4.438773,2025.0
43.428536,4.938376,2025.0
37.016783,-7.807363,2025.0
43.424711,3.700322,2025.0
37.006228,-7.962852,2025.0
37.022831,-7.80901,2025.0
42.464554,-8.941608,2025.0
43.228754,5.348274,2024.0
37.091311,-7.651345,2025.0
36.743586,-3.623762,2024.0
42.372875,3.165155,2024.0
37.021359,-7.80892,2025.0
43.274382,3.514857,2025.0
43.428219,4.938422,2021.0
43.453014,4.441456,2025.0
42.375013,3.158229,2025.0
42.404797,3.159424,2024.0
38.462456,-28.191704,2025.0
37.016595,-7.808132,2025.0
37.017486,-7.810583,2025.0
42.40469,3.157612,2025.0
37.004158,-7.832153,2025.0
42.374488,3.158031,2024.0
42.372446,3.165207,2024.0
42.404782,3.158995,2024.0
36.692364,-4.439754,2025.0
42.404896,3.158115,2024.0
42.405114,3.15775,2024.0
36.152778,-5.351453,2025.0
36.205903,-5.325508,2024.0
36.531216,-6.215309,2025.0
43.188677,5.385686,2025.0
43.188685,5.385241,2025.0
43.213689,5.337353,2025.0
37.006142,-7.829653,2025.0
43.213661,5.337261,2025.0
43.174521,5.397987,2025.0
43.186309,5.391769,2025.0
43.283216,5.315824,2025.0
37.003355,-7.838845,2025.0
43.213617,5.337436,2025.0
43.188472,5.385133,2025.0
43.171415,5.393733,2025.0
43.171498,5.393803,2025.0
43.229023,5.348119,2025.0
-35.577611,138.605251,1964.0
36.683497,-2.699275,2025.0
36.683488,-2.699315,2025.0
43.177661,5.372465,2025.0
43.544385,-5.665429,2025.0
38.402934,-28.165754,2025.0
43.329221,5.100423,2025.0
37.08306,-8.231322,2025.0
37.006268,-7.950715,2025.0
43.186087,5.391424,2025.0
36.695234,-2.847171,2025.0
36.736469,-3.746593,2025.0
39.212866,-9.346436,2023.0
38.687108,-9.359563,2025.0
43.330604,5.043332,2025.0
38.688533,-9.361952,2025.0
38.687763,-9.360403,2025.0
36.489891,-4.701266,2025.0
43.32862,5.100467,2025.0
36.72398,-2.17817,2025.0
36.723976,-2.178152,2025.0
43.20963,5.361555,2025.0
34.3315,135.1535,2008.0
34.3075,135.0775,1990.0
34.265,135.061,1998.0
34.323,135.116,1990.0
34.265,135.061,2010.0
34.3315,135.1535,2001.0
34.285,135.068,1989.0
34.285,135.068,2006.0
34.285,135.068,1993.0
36.699477,-2.858363,2025.0
43.212504,5.330305,2024.0
43.209638,5.372376,2022.0
37.090816,-8.183309,2025.0
38.209362,-0.507625,2025.0
36.817658,-2.553333,2025.0
43.171528,5.393994,2025.0
43.424299,3.700209,2025.0
36.699158,-2.853088,2025.0
36.699347,-2.858298,2025.0
36.695255,-2.848462,2025.0
43.332706,5.198078,2025.0
36.691773,-6.422764,2025.0
43.416065,-3.410826,2025.0
36.830728,-2.488648,2025.0
36.684427,-2.708172,2025.0
36.83074,-2.488728,2025.0
43.331089,5.043434,2025.0
43.430724,3.77632,2022.0
43.424184,3.700434,2025.0
43.211527,5.352429,2025.0
36.811977,-2.431032,2025.0
43.211503,5.352272,2025.0
36.811828,-2.430662,2025.0
36.753813,-2.605163,2025.0
36.75183,-2.607193,2025.0
36.751818,-2.607233,2025.0
36.810827,-2.428817,2025.0
36.830958,-2.48812,2025.0
36.751837,-2.607218,2025.0
36.831148,-2.487977,2025.0
36.831172,-2.487705,2025.0
36.702743,-2.835617,2025.0
36.703,-2.835318,2025.0
43.514256,4.121331,2025.0
43.514597,4.117859,2025.0
43.210913,5.35165,2025.0
36.793926,-2.584828,2025.0
36.795197,-2.583608,2025.0
43.210995,5.351761,2025.0
36.797211,-2.581412,2025.0
36.795631,-2.583247,2025.0
38.699325,-9.41811,2025.0
43.329115,5.099967,2024.0
42.406697,3.160156,2024.0
42.404061,3.156914,2024.0
35.913422,-5.381067,2024.0
42.405146,3.158144,2024.0
42.404736,3.159159,2024.0
38.524774,-28.630325,2024.0
37.101662,-8.36836,2024.0
36.571985,-4.589154,2022.0
43.318052,3.558914,2021.0
36.102719,-5.440291,2022.0
36.03,-5.51,2016.0
35.9,-5.37,2016.0
36.5,-4.9,2019.0
38.1,13.49,2023.0
36.0,-5.6,2016.0
36.05,-5.65,2016.0
35.91,-5.36,2016.0
35.83,-5.64,2023.0
36.02,-5.53,2016.0
35.91,-5.34,2016.0
37.074512,-8.304065,2024.0
37.074348,-8.304278,2024.0
43.330159,5.04306,2024.0
43.41729,4.972923,2025.0
36.713364,-4.413339,2024.0
43.450306,4.43338,2024.0
36.005752,-5.610197,2024.0
36.0775,-5.425239,2024.0
43.330343,5.043295,2024.0
38.680614,-9.3463,2024.0
36.717959,-4.333375,2024.0
43.210423,5.332232,2024.0
43.211182,5.351887,2024.0
38.33,-0.49,2024.0
38.33,-0.5,2024.0
38.23,-0.49,2024.0
38.29,-0.49,2024.0
38.32,-0.5,2024.0
38.29,-0.5,2024.0
38.3,-0.52,2024.0
38.29,-0.52,2024.0
43.18867,5.385525,2024.0
34.539742,128.731806,2022.0
36.721475,129.733033,2021.0
34.884692,128.952375,2021.0
43.228742,5.348033,2024.0
43.210474,5.331663,2024.0
36.685158,-2.696625,2024.0
42.371964,3.164663,2024.0
42.372708,3.164621,2024.0
36.014321,-5.60445,2024.0
43.415967,-3.410256,2024.0
36.698776,-2.841581,2024.0
37.050314,-8.380749,2024.0
36.700386,-2.838825,2024.0
36.699672,-2.856312,2024.0
37.011302,-8.924641,2024.0
37.011075,-8.926438,2024.0
36.74634,-3.871475,2023.0
37.011126,-8.926998,2024.0
37.450828,-8.82261,2024.0
38.680592,-27.055755,2024.0
36.727669,-3.747802,2024.0
37.01102,-8.924403,2024.0
37.010196,-8.926174,2024.0
37.096486,-8.667637,2023.0
43.19064,5.38219,2024.0
37.010549,-8.926356,2024.0
36.71946,-3.728714,2024.0
43.334567,5.029198,2023.0
37.931808,-8.817008,2023.0
36.685222,-2.696427,2024.0
37.010578,-8.926512,2024.0
43.450311,4.432962,2023.0
43.189307,5.385214,2023.0
36.718931,-3.726473,2024.0
36.745291,-3.651334,2024.0
43.211299,5.340134,2024.0
43.477981,-3.517775,2024.0
37.091495,-8.669263,2024.0
37.103295,-8.50843,2024.0
36.244175,-5.30393,2023.0
43.215047,5.326092,2022.0
38.700396,-9.415553,2024.0
43.184882,5.389499,2024.0
37.004906,-8.934395,2023.0
37.093804,-8.339975,2024.0
36.696342,-2.850697,2024.0
43.174333,5.398548,2024.0
37.045867,-8.87803,2023.0
38.700337,-9.416014,2024.0
36.698425,-2.842529,2024.0
36.699214,-2.858231,2024.0
43.425009,3.699976,2024.0
37.089875,-8.66915,2020.0
38.524196,-28.625689,2024.0
43.188685,5.385412,2024.0
36.754047,-3.833945,2024.0
43.207597,5.338047,2024.0
43.189036,5.385983,2024.0
36.704061,-2.832832,2024.0
43.186212,5.391687,2024.0
36.683902,-2.698735,2024.0
36.683878,-2.698772,2024.0
36.683953,-2.698612,2024.0
36.683705,-2.699082,2024.0
36.6837,-2.699202,2024.0
36.699573,-2.839874,2024.0
